,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Vaini,TO,77.16,scattered clouds,-21.20,-175.20,Keleti Beach Resort
11,Kavaratti,IN,80.33,overcast clouds,10.57,72.64,Green leaf
13,Hilo,US,81.25,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
15,Atuona,PF,77.13,few clouds,-9.80,-139.03,Villa Enata
17,Puerto Carreno,CO,93.18,scattered clouds,6.19,-67.49,Casa Hotel Victoria
22,Bondoukou,CI,78.82,overcast clouds,8.03,-2.80,Prestige Hotel
42,Butaritari,KI,79.75,overcast clouds,3.07,172.79,Isles Sunset Lodge
45,Kapaa,US,79.12,few clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
46,Hithadhoo,MV,81.86,overcast clouds,-0.60,73.08,Scoop Guest House
50,Pau Brasil,BR,82.45,overcast clouds,-15.46,-39.65,Tina Hotel
54,Sao Gabriel Da Cachoeira,BR,93,scattered clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
58,Puerto Ayora,EC,78.76,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
61,Avarua,CK,75.25,overcast clouds,-21.21,-159.78,Paradise Inn
67,Bathsheba,BB,84.81,scattered clouds,13.22,-59.52,Atlantis Hotel
71,Abu Dhabi,AE,82.51,clear sky,24.47,54.37,Beach Rotana
77,Victoria,HK,76.17,overcast clouds,22.29,114.16,Mini Central
79,Kahului,US,80.62,scattered clouds,20.89,-156.47,Maui Seaside Hotel
90,Lorengau,PG,81.48,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
95,Cacador,BR,77.97,few clouds,-26.78,-51.02,Hotel Weber
96,Wanning,CN,75.51,broken clouds,18.80,110.40,Paradise Hotel
104,Jizan,SA,83.34,scattered clouds,17.33,42.67,شهدان. ابوالحجر
106,Cuamba,MZ,77.04,overcast clouds,-14.80,36.54,Hotel Vision
108,Dingle,PH,76.03,moderate rain,11.00,122.67,SEGAYA PROPERTY
115,Mataram,ID,79.61,overcast clouds,-8.58,116.12,Hotel Santika Mataram
119,Black River,JM,84.76,clear sky,18.03,-77.85,Idlers' Rest Beach Hotel
129,Torres,BR,83.82,overcast clouds,-29.34,-49.73,Farol Hotel
