,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,College,US,64.8569,-147.8028,27.59,93,100,3.44,mist
1,Bonfim,BR,3.0833,-59.95,90.16,52,100,5.06,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,62.22,71,75,11.5,broken clouds
3,Hobart,AU,-42.8794,147.3294,44.46,91,100,12.66,shower rain
4,Esperance,AU,-33.8667,121.9,54.18,85,33,8.7,scattered clouds
5,Neiafu,TO,-18.65,-173.9833,74.08,100,75,0.0,light rain
6,Vaini,TO,-21.2,-175.2,77.16,88,40,6.91,scattered clouds
7,Busselton,AU,-33.65,115.3333,51.84,82,0,11.88,clear sky
8,Talnakh,RU,69.4865,88.3972,-24.21,87,31,4.05,scattered clouds
9,Punta Arenas,CL,-53.15,-70.9167,60.82,47,75,12.66,broken clouds
10,Khatanga,RU,71.9667,102.5,-15.0,97,100,12.71,overcast clouds
11,Kavaratti,IN,10.5669,72.642,80.33,79,94,11.92,overcast clouds
12,Castro,BR,-24.7911,-50.0119,73.24,71,92,10.07,overcast clouds
13,Hilo,US,19.7297,-155.09,81.25,69,75,6.91,broken clouds
14,Mataura,NZ,-46.1927,168.8643,58.48,77,6,3.27,clear sky
15,Atuona,PF,-9.8,-139.0333,77.13,80,12,18.32,few clouds
16,Grand Gaube,MU,-20.0064,57.6608,72.0,71,40,7.0,scattered clouds
17,Puerto Carreno,CO,6.189,-67.4859,93.18,55,40,4.43,scattered clouds
18,Dikson,RU,73.5069,80.5464,1.47,94,100,18.95,overcast clouds
19,Bredasdorp,ZA,-34.5322,20.0403,62.82,73,100,3.04,overcast clouds
20,New Norfolk,AU,-42.7826,147.0587,42.3,87,100,3.67,light rain
21,Hermanus,ZA,-34.4187,19.2345,63.81,67,100,3.89,overcast clouds
22,Bondoukou,CI,8.0333,-2.8,78.82,65,100,3.13,overcast clouds
23,Rikitea,PF,-23.1203,-134.9692,74.52,82,100,15.14,overcast clouds
24,Barrow,US,71.2906,-156.7887,10.42,85,75,12.66,broken clouds
25,Ishurdi,BD,24.1333,89.0833,67.68,70,1,6.17,clear sky
26,Ribeira Grande,PT,38.5167,-28.7,68.77,88,75,10.36,broken clouds
27,Nanortalik,GL,60.1432,-45.2371,32.74,89,100,7.58,overcast clouds
28,East London,ZA,-33.0153,27.9116,67.39,74,11,19.13,few clouds
29,Xai-Xai,MZ,-25.0519,33.6442,74.01,60,91,15.46,overcast clouds
30,Dekar,BW,-21.5333,21.9333,82.38,25,17,9.15,few clouds
31,Tvedestrand,NO,58.622,8.9315,49.14,89,100,11.3,overcast clouds
32,Aklavik,CA,68.2191,-135.0107,16.34,93,100,13.38,light snow
33,Predivinsk,RU,57.0669,93.4378,32.38,99,100,5.61,snow
34,Marawi,PH,7.9986,124.2928,68.81,93,100,2.77,overcast clouds
35,Severo-Kurilsk,RU,50.6789,156.125,33.89,95,100,18.1,light snow
36,Bonavista,CA,48.6499,-53.1147,37.92,96,100,28.16,light rain
37,Huarmey,PE,-10.0681,-78.1522,70.0,71,14,9.95,few clouds
38,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,92,100,11.65,overcast clouds
39,Nelson,NZ,-41.2833,173.2833,59.29,84,0,3.0,clear sky
40,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,93,100,14.97,light snow
